Timestamp (ms),X,Y,Z
79695448.0,-166.3,-90.09,-24.51
79697428.0,-137.99,651.79,-788.6
79699408.0,-29.41,1069.88,393.71
79701388.0,-59.91,607.75,390.05
79703369.0,48.79,189.41,-181.04
79705349.0,205.44,-366.06,754.95
79707329.0,242.04,-607.98,942.1
79709309.0,44.15,-644.58,-135.16
79711289.0,-138.97,-785.98,-694.41
79713270.0,-158.61,-126.33,178.38
79715250.0,-71.75,629.58,-782.62
79717230.0,-127.87,919.82,136.29
79719210.0,41.35,709.37,393.46
79721190.0,3.41,143.05,-426.26
79723171.0,206.78,-333.0,759.58
79725151.0,216.3,-641.78,959.91
79727131.0,176.04,-725.35,-210.56
79729111.0,-129.57,-745.11,-675.87
79731091.0,-181.91,-139.99,309.53
79733072.0,-256.45,700.59,-739.06
79735052.0,-132.87,1029.01,353.2
79737032.0,2.8,690.46,244.99
79739012.0,22.19,255.41,-473.1
79740992.0,187.63,-246.13,972.47
79742973.0,156.27,-626.77,910.01
79744953.0,167.25,-778.66,-274.61
79746933.0,-156.66,-792.94,-485.3
79748913.0,-198.5,-124.01,155.44
79750894.0,-241.33,604.09,-521.78
79752874.0,-189.48,857.11,212.41
79754854.0,76.48,821.37,224.0
79756834.0,9.99,168.67,-668.55
79758814.0,190.92,-225.03,1107.53
79760795.0,179.09,-620.67,720.79
79762775.0,163.47,-862.72,-332.07
79764755.0,-49.05,-718.27,-517.15
79766735.0,-267.56,-125.6,193.87
79768715.0,-261.33,604.7,-580.34
79770696.0,-93.46,981.92,561.58
79772676.0,-46.98,819.66,-57.94
79774656.0,51.6,292.38,-678.06
79776636.0,200.56,-131.57,931.48
79778616.0,184.45,-649.22,921.48
79780597.0,188.48,-818.8,-364.16
79782577.0,-85.65,-790.5,-623.29
79784557.0,-174.35,-84.73,205.34
79786537.0,-193.87,545.65,-546.18
79788517.0,-130.43,823.56,52.11
79790498.0,6.09,809.9,246.57
79792478.0,17.68,261.14,-461.15
79794458.0,128.46,-194.53,915.74
79796438.0,167.25,-629.09,774.1
79798419.0,185.67,-880.29,-374.53
79800399.0,62.45,-677.28,-571.44
79802379.0,-231.08,-146.82,115.91
79804359.0,-232.91,622.02,-297.79
79806339.0,-132.26,961.42,510.83
79808320.0,-48.69,878.95,-342.69
79810300.0,-15.5,383.27,-649.03
79812280.0,248.26,-98.39,1035.3
79814260.0,271.56,-650.93,926.48
79816240.0,185.06,-882.24,-581.32
79818221.0,-15.5,-722.42,-483.23
79820201.0,-179.72,-139.5,166.05
79822181.0,-75.04,478.18,-400.88
79824161.0,-187.65,768.42,-126.01
79826141.0,-51.37,873.58,217.29
79828122.0,-39.29,260.78,-494.45
79830102.0,171.03,-202.94,885.12
79832082.0,216.78,-645.07,681.38
79834062.0,159.81,-896.51,-364.89
79836042.0,37.2,-655.44,-583.27
79838023.0,-303.91,-169.27,131.89
79840003.0,-6.48,446.46,-392.71
79841983.0,-143.97,927.75,153.98
79843963.0,33.66,997.78,-33.54
79845944.0,25.24,457.56,-655.01
79847924.0,208.12,-120.23,925.63
79849904.0,187.14,-625.92,526.69
79851884.0,45.5,-828.32,-362.69
79853864.0,6.7,-702.9,-483.96
79855845.0,-203.63,-178.18,174.72
79857825.0,8.65,422.18,-505.68
79859805.0,-235.35,738.53,-294.74
79861785.0,-59.79,991.19,66.62
79863765.0,-6.96,317.75,-183.11
79865746.0,203.36,-249.79,737.26
79867726.0,171.28,-678.62,422.5
79869706.0,68.68,-856.62,-238.5
79871686.0,-31.49,-665.08,-582.29
79873666.0,-309.52,-205.02,252.92
79875647.0,20.0,402.05,-442.24
79877627.0,-109.32,895.42,46.25
79879607.0,63.92,1128.93,-407.96
79881587.0,40.13,502.34,-596.45
79883567.0,318.17,-150.73,1088.13
79885548.0,99.3,-645.93,352.47
79887528.0,-19.77,-851.98,-413.08
79889508.0,-83.46,-681.92,-314.99
79891488.0,-186.06,-342.02,119.08
79893469.0,25.37,402.18,-557.89
79895449.0,-253.16,719.38,-412.96
79897429.0,31.59,1053.17,66.99
79899409.0,26.59,338.0,-119.67
79901389.0,159.44,-310.67,628.92
79903370.0,105.28,-722.91,366.62
79905350.0,41.35,-836.98,-189.7
79907330.0,-48.57,-654.34,-391.61
79909310.0,-262.07,-264.8,156.66
79911290.0,-1.84,403.4,-241.18
