Timestamp (ms),X,Y,Z
648114131.0,-6.75,176.19,-213.03
648116112.0,-60.19,-7.54,295.22
648118092.0,11.55,226.21,-212.42
648120072.0,61.81,175.7,-179.36
648122052.0,73.65,49.19,367.69
648124032.0,-44.57,84.81,-424.46
648126013.0,81.82,30.03,187.25
648127993.0,-73.73,-93.8,204.94
648129973.0,-94.83,-54.76,-242.31
648131953.0,-0.65,-223.97,169.31
648133933.0,-62.38,-114.17,134.18
648135914.0,-0.65,152.28,-217.18
648137894.0,-81.29,6.37,123.69
648139874.0,72.43,196.81,23.77
648141854.0,8.99,192.42,-301.85
648143834.0,72.31,10.03,435.27
648145815.0,-47.5,83.71,-276.11
648147795.0,67.3,40.77,27.92
648149775.0,-37.98,-147.72,260.45
648151755.0,-115.09,-35.6,-255.37
648153736.0,-12.36,-220.31,138.08
648155716.0,-28.95,-118.81,109.78
648157696.0,16.31,138.86,-132.76
648159676.0,-98.49,-23.52,198.59
648161656.0,-5.77,203.88,-324.91
648163637.0,40.1,210.96,69.27
648165617.0,19.11,14.54,220.8
648167597.0,-2.36,40.77,-273.67
648169577.0,60.35,69.93,284.36
648171557.0,-111.91,-150.53,29.75
648173538.0,-36.88,-67.08,-42.72
648175518.0,15.82,-145.52,147.23
648177498.0,-8.7,-168.95,50.24
648179478.0,-49.69,162.53,-196.93
648181458.0,-83.85,-19.5,369.39
648183439.0,33.75,175.7,-294.04
648185419.0,33.88,217.67,-235.73
648187399.0,42.54,-7.3,495.05
648189379.0,-5.53,55.78,-210.11
648191359.0,35.1,24.06,-69.56
648193340.0,-68.24,-142.35,317.3
648195320.0,-10.9,-86.6,-1.12
648197300.0,12.04,-164.19,238.61
648199280.0,-28.47,-138.45,178.34
648201261.0,-52.38,107.26,-273.79
648203241.0,-63.48,-62.81,166.39
648205221.0,23.75,119.34,-192.29
648207201.0,17.16,250.24,-148.74
648209181.0,52.05,12.83,291.68
648211162.0,-2.48,46.63,-169.85
648213142.0,7.65,2.95,55.85
648215122.0,-35.18,-233.73,302.78
648217102.0,-42.62,-51.58,-104.94
648219082.0,41.32,-101.97,277.16
648221063.0,-33.1,-117.1,110.51
648223043.0,-6.02,127.02,-144.23
648225023.0,-149.12,-80.74,100.51
648227003.0,64.38,87.37,-169.85
648228983.0,25.09,263.05,-193.88
648230964.0,34.0,-30.84,459.43
648232944.0,59.98,23.32,-221.21
648234924.0,-8.46,2.95,102.21
648236904.0,-54.33,-233.0,303.03
648238884.0,-59.45,-119.78,-228.41
648240865.0,78.41,-71.96,514.33
648242845.0,-81.54,-88.18,-91.89
648244825.0,-32.0,86.64,-258.17
648246805.0,-108.13,-90.75,126.37
648248786.0,34.12,53.82,-103.72
648250766.0,64.74,257.44,-192.05
648252746.0,61.45,-3.15,391.6
648254726.0,16.06,-27.55,-136.17
648256706.0,46.32,-43.17,142.84
648258687.0,-62.87,-241.66,252.15
648260667.0,-36.88,-155.04,-217.18
648262647.0,7.16,-46.34,266.18
648264627.0,-86.66,-31.45,106.36
648266607.0,-59.7,143.25,-364.31
648268588.0,-78.97,-110.75,142.6
648270568.0,56.93,23.2,-84.45
648272548.0,39.61,202.91,-336.99
648274528.0,60.84,-9.49,277.53
648276508.0,68.4,-56.83,1.93
648278489.0,68.28,-44.75,110.75
648280469.0,-53.84,-325.11,137.59
648282449.0,-26.03,-99.9,-80.05
648284429.0,13.26,-34.75,330.72
648286409.0,-126.07,-33.89,-55.17
648288390.0,-2.36,138.25,-72.25
648290370.0,-105.94,-79.28,-80.18
648292350.0,79.5,10.03,-60.17
648294330.0,73.53,229.63,-63.22
648296311.0,58.03,-36.58,259.23
648298291.0,78.04,-45.12,-192.9
648300271.0,83.16,-30.23,79.64
648302251.0,-29.08,-302.29,249.71
648304231.0,-91.17,-145.89,-169.6
648306212.0,9.6,-7.66,293.27
648308192.0,-138.88,-9.86,-39.31
648310172.0,-19.68,136.54,-20.4
648312152.0,-52.26,-95.75,71.96
648314132.0,77.67,29.3,4.37
648316113.0,47.91,197.91,-245.97
