Timestamp (ms),X,Y,Z
912919416.0,-95.57,-227.63,-319.91
912921396.0,-249.77,137.15,-540.12
912923376.0,-71.17,580.99,53.78
912925356.0,-180.97,603.43,-131.54
912927337.0,85.97,595.14,403.31
912929317.0,47.17,53.09,219.7
912931297.0,191.01,-278.14,442.84
912933277.0,197.23,-641.94,159.31
912935257.0,0.45,-754.67,70.74
912937238.0,-14.68,-341.82,-278.3
912939218.0,-255.39,-11.81,-677.12
912941198.0,-166.33,589.89,197.5
912943178.0,-224.89,703.35,-234.63
912945158.0,9.48,649.31,67.08
912947139.0,83.16,214.86,346.46
912949119.0,205.65,-331.09,568.25
912951099.0,249.94,-660.73,376.59
912953079.0,56.81,-859.96,-47.6
912955060.0,-8.21,-389.89,-117.14
912957040.0,-278.08,-37.92,-666.75
912959020.0,-192.07,302.83,-64.56
912961000.0,-117.77,565.86,-237.68
912962980.0,10.21,631.01,21.45
912964961.0,84.75,359.07,491.88
912966941.0,48.76,-197.37,429.05
912968921.0,276.78,-378.79,233.12
912970901.0,50.59,-731.12,-280.99
912972881.0,1.3,-540.44,79.4
912974862.0,-221.35,-160.53,-717.38
912976842.0,-166.08,278.55,-98.6
912978822.0,43.39,700.79,-123.49
912980802.0,-46.52,715.67,-32.23
912982782.0,158.68,400.67,654.63
912984763.0,27.53,-115.15,271.43
912986743.0,284.83,-338.28,253.86
912988723.0,47.42,-881.18,-170.09
912990703.0,67.18,-725.02,324.74
912992683.0,-191.09,-230.8,-514.86
912994664.0,-188.41,163.26,-400.06
912996644.0,-135.58,648.7,-19.05
912998624.0,-140.22,662.85,6.32
913000604.0,75.6,637.72,517.62
913002585.0,-29.44,70.05,191.03
913004565.0,275.8,-433.32,386.11
913006545.0,128.3,-742.96,29.62
913008525.0,44.12,-775.41,252.64
913010505.0,-51.89,-223.24,-424.46
913012486.0,-184.63,156.18,-538.77
913014466.0,-37.01,552.07,80.5
913016446.0,-223.79,565.86,-36.87
913018426.0,-10.17,575.74,356.71
913020406.0,59.25,42.23,162.73
913022387.0,230.91,-298.88,342.07
913024367.0,228.95,-654.26,287.29
913026347.0,-15.41,-775.9,101.24
913028327.0,-59.33,-342.19,-252.44
913030307.0,-258.8,8.81,-756.42
913032288.0,-145.83,631.01,192.98
913034268.0,-164.62,734.83,-94.69
913036248.0,37.41,609.41,71.47
913038228.0,47.91,214.5,274.23
913040208.0,147.34,-329.38,518.97
913042189.0,212.36,-677.08,489.44
913044169.0,51.32,-853.98,-91.03
913046149.0,38.39,-387.08,-281.96
913048129.0,-229.4,-19.99,-622.22
913050110.0,-222.93,330.89,100.02
913052090.0,-192.19,561.59,-358.7
913054070.0,-17.36,691.4,48.53
913056050.0,141.85,340.89,577.53
913058030.0,88.65,-164.92,350.12
913060011.0,281.29,-384.16,105.26
913061991.0,37.29,-732.95,-274.77
913063971.0,30.95,-505.06,129.91
913065951.0,-223.3,-131.37,-623.93
913067931.0,-156.08,282.33,-216.45
913069912.0,23.99,662.24,-176.8
913071892.0,-30.3,685.42,99.53
913073872.0,145.51,397.99,661.95
913075852.0,10.45,-185.91,178.46
913077832.0,280.07,-342.31,282.29
913079813.0,15.7,-865.45,-16.37
913081793.0,22.53,-719.29,143.57
913083773.0,-173.65,-209.82,-588.79
913085753.0,-170.23,147.4,-258.78
913087733.0,-99.71,672.97,-31.86
913089714.0,-172.18,707.87,-15.27
913091694.0,62.42,596.85,370.0
913093674.0,-20.41,27.84,70.13
913095654.0,291.66,-433.69,512.62
913097635.0,106.1,-806.03,24.74
913099615.0,44.12,-760.04,200.06
913101595.0,-46.28,-203.23,-413.11
913103575.0,-214.27,131.78,-533.65
913105555.0,10.82,591.11,103.68
913107536.0,-200.85,608.31,-83.59
913109516.0,36.19,592.21,456.75
913111496.0,2.52,50.04,200.79
913113476.0,226.51,-299.12,501.03
913115456.0,154.17,-645.11,29.87
913117437.0,15.94,-781.27,137.11
913119417.0,-48.23,-315.35,-140.69
913121397.0,-273.32,23.57,-724.34
913123377.0,-173.16,626.0,126.61
913125357.0,-230.74,701.28,-135.2
913127338.0,79.38,594.53,102.34
913129318.0,98.41,194.49,242.27
913131298.0,226.15,-361.34,585.94
913133278.0,174.42,-703.43,373.42
913135258.0,26.8,-862.4,28.04
913137239.0,30.58,-384.52,-311.12
913139219.0,-219.03,-45.73,-581.96
913141199.0,-216.96,332.23,-15.03
913143179.0,-161.81,534.14,-283.43
913145159.0,-0.41,677.61,20.11
913147140.0,154.53,342.35,603.39
913149120.0,34.85,-189.08,347.68
913151100.0,258.48,-438.57,114.9
913153080.0,79.14,-721.36,-189.24
913155061.0,60.11,-424.42,85.01
913157041.0,-267.71,-120.76,-660.04
913159021.0,-201.22,287.7,-91.03
913161001.0,-31.64,715.31,-137.39
913162981.0,-7.6,668.22,-89.2
913164962.0,164.05,381.39,822.62
913166942.0,50.71,-158.46,127.47
913168922.0,260.31,-335.6,180.66
913170902.0,-35.54,-819.82,-25.4
913172882.0,23.63,-727.71,432.1
913174863.0,-228.91,-237.15,-832.18
913176843.0,-170.6,186.19,-268.3
913178823.0,-77.14,676.63,19.74
913180803.0,-163.4,685.17,-140.44
913182783.0,63.89,559.15,503.96
913184764.0,6.79,-18.28,233.0
913186744.0,305.57,-451.62,303.76
913188724.0,153.31,-864.23,56.83
913190704.0,32.78,-768.33,229.09
913192684.0,-61.16,-245.69,-441.17
913194665.0,-216.35,109.09,-426.9
913196645.0,-1.38,562.56,60.61
913198625.0,-172.91,566.22,-105.67
913200605.0,52.3,621.73,424.42
913202586.0,13.01,62.36,297.29
913204566.0,159.78,-313.76,408.92
913206546.0,116.96,-620.35,115.88
913208526.0,43.27,-747.35,134.79
913210506.0,14.23,-275.7,-168.26
913212487.0,-256.12,106.77,-756.91
913214467.0,-161.93,674.56,267.52
913216447.0,-306.63,746.91,-219.62
913218427.0,84.38,582.57,121.98
913220407.0,105.25,176.19,302.17
913222388.0,243.23,-341.09,492.49
913224368.0,143.8,-697.09,361.1
913226348.0,-41.03,-850.32,-57.12
913228328.0,70.6,-415.63,-273.67
913230308.0,-237.33,-65.61,-537.19
913232289.0,-162.18,362.97,-39.67
913234269.0,-186.58,496.44,-376.88
913236249.0,40.83,711.65,133.57
913238229.0,146.97,318.56,503.47
913240209.0,73.04,-206.4,427.1
913242190.0,269.21,-474.8,179.81
913244170.0,124.77,-754.43,-225.23
913246150.0,46.81,-420.51,-67.98
913248130.0,-278.2,-88.43,-486.31
913250111.0,-189.87,269.64,-67.61
913252091.0,-103.86,666.51,-324.79
913254071.0,74.99,655.04,89.77
913256051.0,102.68,391.15,814.21
913258031.0,40.34,-165.9,200.79
913260012.0,213.7,-343.53,234.95
913261992.0,11.79,-808.96,-90.06
913263972.0,-25.9,-690.74,141.5
913265952.0,-142.17,-191.03,-567.44
913267932.0,-160.23,225.97,-279.28
913269913.0,-50.3,706.16,-86.28
913271893.0,-130.21,749.59,-22.59
913273873.0,77.67,546.22,527.14
913275853.0,-9.68,-6.32,122.1
913277833.0,268.48,-417.58,334.62
913279814.0,152.22,-831.77,8.52
913281794.0,3.38,-778.58,222.38
913283774.0,-73.73,-234.1,-370.41
913285754.0,-234.89,111.9,-484.85
913287734.0,-6.38,577.2,-23.69
913289715.0,-136.07,576.72,35.11
913291695.0,85.12,626.86,529.46
913293675.0,43.76,33.08,108.68
913295655.0,201.38,-369.03,505.79
913297635.0,122.33,-649.87,155.53
913299616.0,11.92,-774.56,-30.77
913301596.0,-42.01,-284.73,-170.09
913303576.0,-245.87,102.5,-678.95
913305556.0,-149.98,626.25,142.23
913307537.0,-279.42,752.15,-146.79
913309517.0,56.2,569.03,152.11
913311497.0,61.2,123.85,268.62
913313477.0,236.64,-347.56,526.53
913315457.0,185.64,-688.3,337.8
913317438.0,-67.51,-866.67,-115.56
913319418.0,107.44,-392.57,-156.67
913321398.0,-226.84,-56.83,-618.44
913323378.0,-130.21,392.98,3.27
913325358.0,-151.44,583.06,-287.94
913327339.0,-1.02,712.99,59.39
913329319.0,150.63,304.9,379.89
913331299.0,41.56,-223.73,597.66
913333279.0,256.77,-487.0,277.65
913335259.0,74.99,-786.76,-263.05
913337240.0,26.56,-353.9,-38.09
913339220.0,-284.3,-75.25,-583.43
913341200.0,-213.05,279.28,-131.78
913343180.0,-88.73,649.92,-249.02
913345160.0,61.81,625.88,67.32
913347141.0,104.76,375.42,792.73
913349121.0,62.55,-188.35,284.12
913351101.0,245.06,-377.81,234.22
913353081.0,-10.9,-760.4,-265.37
913355062.0,-8.7,-695.62,217.75
913357042.0,-210.73,-237.15,-480.82
913359022.0,-187.92,261.1,-306.97
913361002.0,-22.24,704.45,-154.96
913362982.0,-119.48,736.66,25.11
913364963.0,97.07,517.67,501.15
913366943.0,-18.22,-44.87,105.02
913368923.0,292.88,-402.82,441.01
913370903.0,109.76,-861.3,-62.36
913372883.0,36.8,-765.77,253.86
913374864.0,-68.73,-223.97,-509.98
913376844.0,-143.02,123.97,-494.98
913378824.0,-14.8,570.62,124.66
913380804.0,-181.94,625.76,-3.8
913382784.0,36.56,643.08,454.92
913384765.0,-18.34,37.6,112.83
913386745.0,242.13,-366.95,489.56
913388725.0,125.5,-673.05,131.74
913390705.0,8.74,-754.55,160.77
913392685.0,-81.54,-238.12,-285.99
913394666.0,-272.1,113.97,-696.76
913396646.0,-63.6,622.83,166.63
913398626.0,-271.0,726.65,-156.18
913400606.0,72.79,559.39,262.52
913402587.0,26.19,64.68,174.19
913404567.0,265.07,-324.74,515.31
913406547.0,204.8,-696.72,270.33
913408527.0,-30.54,-842.63,-44.06
913410507.0,101.1,-392.21,-203.76
913412488.0,-255.26,-56.59,-569.03
913414468.0,-141.8,495.1,55.0
913416448.0,-254.41,575.5,-384.57
913418428.0,49.61,681.03,199.57
913420408.0,158.93,270.01,413.31
913422389.0,116.47,-235.68,476.27
913424369.0,225.42,-585.09,368.42
913426349.0,55.23,-823.97,-14.42
913428329.0,23.75,-296.93,-132.51
913430309.0,-261.49,-43.53,-621.37
913432290.0,-174.13,331.62,-108.48
913434270.0,-174.26,599.77,-312.46
913436250.0,11.06,621.61,95.63
913438230.0,42.78,361.26,682.32
913440210.0,75.6,-191.88,289.73
913442191.0,259.09,-388.3,100.99
913444171.0,54.25,-723.93,-179.0
913446151.0,8.13,-602.54,113.44
913448131.0,-242.82,-227.02,-572.08
913450112.0,-234.4,275.38,-302.09
913452092.0,3.25,686.03,-140.93
913454072.0,9.84,743.61,72.45
913456052.0,204.31,415.68,655.12
