Timestamp (ms),X,Y,Z
91073722.0,-2.97,-5.83,25.6
91075703.0,-5.77,-4.86,23.77
91077683.0,-4.92,-4.0,27.31
91079663.0,-0.16,-6.2,33.65
91081643.0,-0.16,-10.47,23.04
91083623.0,-6.99,-4.37,31.58
91085604.0,-4.43,-7.42,26.21
91087584.0,0.08,-5.1,27.18
91089564.0,-1.38,-9.25,33.53
91091544.0,-3.94,-3.52,28.77
91093525.0,3.01,-9.13,29.01
91095505.0,-7.12,-2.91,29.14
91097485.0,-6.02,-6.93,32.67
91099465.0,-6.38,-7.79,34.63
91101445.0,-1.14,-6.93,31.21
91103426.0,-2.85,-6.81,34.02
91105406.0,-7.36,-11.69,31.94
91107386.0,-2.6,-9.98,26.21
91109366.0,-4.43,-5.83,24.5
91111346.0,-4.68,-5.47,25.35
91113327.0,-7.73,-7.79,22.67
91115307.0,-4.92,-8.52,29.01
91117287.0,-3.09,-6.81,28.53
91119267.0,2.16,-6.2,27.06
91121247.0,-1.75,-7.79,24.87
91123228.0,-1.75,-7.05,28.53
91125208.0,-3.33,-5.83,30.23
91127188.0,-2.24,-5.22,30.72
91129168.0,-6.75,-5.83,24.62
91131148.0,-5.41,-4.61,26.21
91133129.0,-5.04,-7.05,33.41
91135109.0,-8.21,-1.32,28.65
91137089.0,-5.04,-7.79,28.77
91139069.0,-3.09,-10.71,28.04
91141049.0,-2.6,-6.32,27.67
91143030.0,0.33,-5.47,19.74
91145010.0,-2.36,-9.86,33.77
91146990.0,-4.07,-3.88,29.26
91148970.0,-2.6,-5.59,31.21
91150951.0,-4.43,-5.1,24.13
91152931.0,-1.14,-5.1,27.92
91154911.0,-2.24,-6.93,26.45
91156891.0,-8.09,-7.3,28.89
91158871.0,-1.87,-9.98,30.23
91160852.0,-6.02,-10.23,23.52
91162832.0,-3.33,-9.86,29.5
91164812.0,-4.31,-12.67,27.67
91166792.0,-7.12,-8.76,31.82
91168772.0,-3.94,-4.86,28.65
91170753.0,-2.85,-4.61,29.38
91172733.0,-0.89,-8.64,34.87
91174713.0,-4.31,-6.81,26.45
91176693.0,-6.38,-6.93,28.28
91178673.0,-3.58,-5.71,24.5
91180654.0,-6.87,-7.54,22.43
91182634.0,-2.11,-10.59,28.04
91184614.0,-1.63,-5.71,24.13
91186594.0,-3.82,-10.47,28.4
91188574.0,-5.53,-11.93,31.58
91190555.0,-2.48,-2.66,27.06
91192535.0,-3.58,-6.2,29.99
91194515.0,-5.04,-4.25,25.84
91196495.0,-1.87,-7.66,25.96
91198476.0,-5.04,-7.18,30.36
91200456.0,-3.58,-10.96,26.57
91202436.0,-2.85,-6.81,30.72
91204416.0,-0.65,-6.57,28.16
91206396.0,-2.72,-5.47,25.96
91208377.0,-3.94,-7.54,30.23
91210357.0,0.69,-5.96,29.87
91212337.0,-0.41,-5.47,27.55
91214317.0,-2.6,-4.61,34.02
91216297.0,-1.02,-6.81,32.55
91218278.0,-2.11,-8.76,26.82
91220258.0,-4.55,-6.93,28.65
91222238.0,-5.41,-7.79,29.01
91224218.0,-3.7,-11.32,29.99
91226198.0,-2.11,-10.96,25.11
91228179.0,-4.92,-7.05,31.94
91230159.0,-0.89,-7.18,26.33
91232139.0,-1.14,-10.71,28.53
91234119.0,-4.43,-10.35,25.96
91236099.0,-2.48,-4.86,25.6
91238080.0,-0.65,-6.57,27.79
91240060.0,-3.82,-7.66,26.57
91242040.0,-4.8,-6.57,29.75
91244020.0,-5.41,-8.4,27.06
91246001.0,-3.58,-7.3,26.09
91247981.0,-3.33,-4.61,28.04
91249961.0,-1.87,-8.52,28.04
91251941.0,-5.29,-6.69,30.23
91253921.0,-3.09,-9.98,27.06
91255902.0,-4.55,-10.23,29.75
91257882.0,-3.94,-10.47,28.16
91259862.0,-0.77,-6.81,27.55
91261842.0,-2.6,-7.79,25.6
91263822.0,-1.87,-1.08,30.23
91265803.0,-2.48,-9.62,33.77
91267783.0,-4.68,-7.79,25.84
91269763.0,-2.11,-9.13,27.31
91271743.0,-2.85,-8.27,29.01
91273723.0,-6.87,-7.3,26.94
91275704.0,-2.36,-6.08,28.16
91277684.0,-4.19,-9.37,27.79
91279664.0,-6.99,-7.91,23.4
91281644.0,-5.77,-8.27,29.87
91283624.0,-3.82,-5.96,29.14
91285605.0,-3.46,-9.37,30.36
91287585.0,-5.29,-5.22,28.4
91289565.0,-0.65,-6.32,30.36
91291545.0,-3.33,-9.01,28.4
91293525.0,1.18,-7.42,25.6
91295506.0,-0.41,-6.32,29.62
91297486.0,2.28,-5.35,27.55
91299466.0,-4.55,-3.39,30.48
91301446.0,-6.02,-8.52,30.6
91303427.0,1.18,-4.74,31.58
91305407.0,-0.28,-7.54,32.31
91307387.0,-1.87,-10.35,26.33
91309367.0,-1.14,-7.79,24.13
91311347.0,-5.53,-3.88,33.41
91313328.0,0.57,-5.47,34.26
91315308.0,-3.58,-6.44,29.5
91317288.0,-3.09,-4.49,24.74
91319268.0,-2.6,-6.08,28.04
91321248.0,-3.09,-10.1,31.45
91323229.0,-6.26,-2.66,28.65
91325209.0,-4.68,-9.62,30.6
91327189.0,-3.7,-5.59,30.97
91329169.0,3.13,-10.47,31.09
91331149.0,-6.51,-9.13,22.3
91333130.0,-2.48,-7.3,32.31
91335110.0,-1.02,-6.81,22.67
91337090.0,-5.04,-8.03,27.92
91339070.0,-5.77,-8.76,29.99
91341050.0,-7.85,-7.42,29.75
91343031.0,-5.04,-7.79,33.65
91345011.0,-2.36,-9.74,26.7
91346991.0,-2.36,-5.1,31.82
91348971.0,-2.85,-7.91,24.87
91350952.0,-4.07,-5.96,31.21
91352932.0,-8.58,-6.69,27.18
91354912.0,-0.53,-9.49,29.5
91356892.0,-2.36,-8.76,35.11
91358872.0,-0.41,-2.05,24.62
91360853.0,-3.94,-8.76,27.43
91362833.0,-4.43,-6.32,26.94
91364813.0,-1.38,-5.59,29.14
91366793.0,-4.68,-8.52,29.99
91368773.0,-3.7,-5.59,31.33
91370754.0,-1.26,-10.47,26.57
91372734.0,-6.14,-6.69,29.26
91374714.0,-4.55,-9.62,29.75
91376694.0,-2.6,-8.03,26.94
91378674.0,-5.77,-2.91,25.84
91380655.0,-4.8,-3.39,25.84
91382635.0,-5.04,-3.27,28.53
91384615.0,-2.6,-4.86,32.06
91386595.0,-4.92,-8.03,25.23
91388575.0,-3.58,-5.96,31.7
91390556.0,-2.11,-7.54,25.23
91392536.0,-4.31,-8.15,23.16
91394516.0,-6.51,-9.25,28.4
91396496.0,-2.11,-6.81,25.35
91398477.0,-2.72,-8.88,28.53
91400457.0,0.81,-8.52,31.21
91402437.0,-0.04,-8.52,26.57
91404417.0,-3.46,-7.91,28.28
91406397.0,-7.73,-10.96,34.87
91408378.0,-3.46,-5.1,26.94
91410358.0,-3.58,-7.79,29.5
91412338.0,-0.16,-5.22,31.82
91414318.0,-4.68,-9.37,28.89
91416298.0,-3.82,-8.76,29.99
91418279.0,1.79,-5.59,33.04
91420259.0,-5.77,-9.13,28.53
91422239.0,-2.72,-8.27,28.89
91424219.0,-4.68,-7.3,30.48
91426199.0,-4.92,-7.54,30.23
91428180.0,-0.41,-6.93,27.06
91430160.0,-2.85,-7.91,30.84
91432140.0,-1.63,-9.98,30.36
91434120.0,-1.14,-5.59,26.82
91436100.0,-1.38,-7.3,24.99
91438081.0,-3.46,-4.49,34.99
91440061.0,-2.72,-8.88,32.55
91442041.0,-1.75,-7.05,26.33
91444021.0,-3.09,-9.62,25.48
91446002.0,0.45,-5.83,29.26
91447982.0,-0.89,-6.2,30.23
91449962.0,-4.68,-7.79,33.53
91451942.0,-5.29,-3.64,27.06
91453922.0,-6.75,-5.1,20.96
91455903.0,-2.72,-8.52,26.45
91457883.0,-2.85,-5.83,32.43
91459863.0,-5.65,-9.74,31.94
91461843.0,-2.97,-5.35,22.18
91463823.0,-7.24,-6.32,24.87
91465804.0,-7.12,-4.61,26.21
91467784.0,-2.85,-6.81,32.19
91469764.0,-1.75,-5.83,29.62
91471744.0,-3.94,-7.79,31.94
91473724.0,-2.6,-7.79,30.23
91475705.0,-0.77,-8.64,30.84
91477685.0,-6.38,-6.81,31.7
91479665.0,-1.14,-10.35,30.48
91481645.0,-5.16,-7.79,27.92
91483625.0,-1.75,-9.01,28.28
91485606.0,-5.04,-5.59,32.31
91487586.0,-2.11,-9.98,29.38
91489566.0,-0.53,-8.15,32.55
91491546.0,-9.07,-6.93,27.31
91493527.0,-3.09,-8.52,28.53
91495507.0,-4.31,-5.22,29.62
91497487.0,-6.51,-7.42,28.77
91499467.0,2.52,-4.86,30.72
91501447.0,-6.14,-8.27,31.33
91503428.0,0.2,-10.59,26.57
91505408.0,-6.63,-10.96,31.82
91507388.0,-4.92,-9.01,28.53
91509368.0,-5.9,-4.74,26.57
91511348.0,-5.29,-6.81,29.99
91513329.0,-3.33,-7.05,23.4
91515309.0,-3.46,-2.42,28.77
91517289.0,-6.51,-9.25,29.5
91519269.0,-1.63,-6.81,30.36
91521249.0,-0.28,-11.08,24.5
91523230.0,-3.21,-6.32,27.06
91525210.0,-4.07,-5.35,30.11
91527190.0,-3.09,-5.83,31.45
91529170.0,-0.77,-6.2,29.75
91531150.0,-3.7,-1.93,32.67
91533131.0,-4.55,-6.44,30.97
91535111.0,-7.12,-8.76,27.55
91537091.0,0.45,-5.83,31.58
91539071.0,-3.58,-6.93,29.26
91541051.0,-2.36,-6.32,26.7
91543032.0,-2.85,-6.32,31.33
91545012.0,-0.89,-6.69,32.67
91546992.0,-0.53,-6.2,27.67
91548972.0,-2.48,-5.96,23.16
91550953.0,-1.63,-6.93,29.14
91552933.0,-2.11,-8.27,26.45
91554913.0,-3.82,-5.1,33.41
91556893.0,1.79,-9.13,28.77
91558873.0,-2.6,-5.35,29.75
91560854.0,-6.38,-5.59,28.65
91562834.0,-5.9,-4.74,27.43
91564814.0,0.57,-9.98,23.52
91566794.0,-6.38,-6.81,26.82
91568774.0,-3.94,-6.57,27.55
91570755.0,-3.82,-9.13,32.8
91572735.0,-2.85,-11.81,27.55
91574715.0,-4.43,-7.3,25.6
91576695.0,-0.28,-5.59,27.18
91578675.0,-2.72,-6.08,25.84
91580656.0,-3.82,-3.88,24.62
91582636.0,-3.33,-8.15,28.89
91584616.0,3.01,-6.81,28.77
91586596.0,-1.63,-3.64,29.38
91588576.0,-5.65,-7.66,28.65
91590557.0,-2.85,-8.27,19.74
91592537.0,-7.12,-9.37,26.7
91594517.0,-11.14,-6.57,25.72
91596497.0,-1.5,-6.57,24.62
91598478.0,-3.46,-9.74,30.36
91600458.0,0.33,-7.3,27.06
91602438.0,-4.31,-10.23,26.82
91604418.0,-2.11,-8.15,27.31
91606398.0,-3.82,-4.25,28.53
91608379.0,-5.29,-6.08,29.01
91610359.0,-1.38,-7.91,28.16
91612339.0,0.81,-5.83,32.31
91614319.0,-6.87,-4.98,33.53
91616299.0,-1.63,-1.32,26.33
91618280.0,-3.09,-8.4,29.87
91620260.0,-5.53,-5.96,25.6
91622240.0,-4.92,-3.52,24.74
91624220.0,-4.07,-2.66,26.7
91626200.0,-3.21,-7.91,19.99
91628181.0,-2.6,-9.49,25.72
91630161.0,-1.02,-6.69,29.26
91632141.0,-4.31,-6.81,25.11
91634121.0,-1.5,-9.49,34.26
91636101.0,1.18,-9.86,29.5
91638082.0,-0.65,-8.03,32.43
91640062.0,0.57,-4.25,29.01
91642042.0,-4.68,-8.03,33.04
91644022.0,-3.33,-7.79,28.28
91646003.0,-2.36,-10.59,27.43
91647983.0,-2.72,-9.01,21.45
91649963.0,-2.85,-7.79,28.89
91651943.0,-2.36,-4.37,24.38
91653923.0,-2.85,-5.35,27.31
91655904.0,-2.36,-7.66,31.33
91657884.0,-4.31,-8.4,27.43
91659864.0,-2.85,-7.91,28.28
91661844.0,-4.55,-4.86,27.79
91663824.0,-3.58,-7.91,28.04
91665805.0,-2.24,-9.01,27.18
91667785.0,-6.51,-7.05,24.99
91669765.0,-5.77,-6.57,30.23
91671745.0,-2.72,-4.25,29.14
91673725.0,-5.53,-6.81,24.99
91675706.0,-0.41,-5.59,27.18
91677686.0,-5.04,-7.3,29.75
91679666.0,-0.28,-6.08,32.8
91681646.0,-5.04,-8.27,27.67
91683626.0,-2.36,-9.25,29.14
91685607.0,-4.8,-7.54,33.16
91687587.0,-6.02,-9.01,27.18
91689567.0,-4.92,-4.74,34.87
91691547.0,-2.48,-4.74,33.89
91693527.0,-4.8,-5.59,26.94
91695508.0,-1.99,-7.79,34.26
91697488.0,-3.09,-8.27,28.77
91699468.0,-3.09,-7.3,27.06
91701448.0,-4.8,-8.4,27.06
91703429.0,-6.63,-6.08,27.92
91705409.0,-1.87,-5.71,36.09
91707389.0,-1.87,-8.52,24.99
91709369.0,-4.68,-8.03,31.45
91711349.0,-4.19,-7.3,25.23
91713330.0,-0.16,-7.18,26.94
91715310.0,-3.82,-8.03,27.31
91717290.0,-4.8,-4.37,27.43
91719270.0,-5.41,-8.52,33.16
91721250.0,-1.99,-9.62,28.28
91723231.0,-1.75,-7.91,26.57
91725211.0,-0.53,-8.27,31.33
91727191.0,1.91,-4.61,31.7
91729171.0,-1.87,-4.61,25.35
91731151.0,-3.58,-8.76,34.02
91733132.0,-2.72,-10.96,28.65
91735112.0,-5.65,-7.54,28.89
91737092.0,-3.09,-9.49,26.57
91739072.0,-6.75,-11.45,31.33
91741052.0,-2.36,-6.44,30.23
91743033.0,-5.29,-8.4,23.65
91745013.0,-4.31,-9.86,31.94
91746993.0,-6.38,-6.81,29.62
91748973.0,-1.63,-8.52,32.19
91750954.0,-9.92,-7.54,27.31
91752934.0,-1.26,-6.93,27.06
91754914.0,-0.16,-6.44,24.74
91756894.0,-0.41,-8.03,28.28
91758874.0,-1.38,-6.44,33.04
91760855.0,-5.77,-6.44,24.62
91762835.0,-2.97,-8.76,32.67
91764815.0,-1.63,-10.35,26.45
91766795.0,-1.02,-3.64,26.33
91768775.0,-3.33,-6.81,24.62
91770756.0,-4.43,-5.22,33.41
91772736.0,-0.65,-3.52,32.19
91774716.0,-4.92,-8.27,28.65
91776696.0,-5.77,-11.57,29.87
91778676.0,-2.11,-9.74,33.41
91780657.0,-3.33,-3.64,28.77
91782637.0,-0.41,-7.3,32.06
91784617.0,-4.43,-4.13,27.79
91786597.0,-1.63,-7.05,26.09
91788577.0,-2.97,-10.1,33.04
91790558.0,-5.53,-7.42,25.84
91792538.0,-3.33,-6.81,29.38
91794518.0,-5.41,-5.47,29.14
91796498.0,-1.38,-2.91,26.09
91798479.0,-3.46,-9.98,28.4
91800459.0,-5.04,-10.1,29.5
91802439.0,-3.82,-5.47,31.94
91804419.0,-3.58,-11.2,30.48
91806399.0,-3.58,-8.88,27.31
91808380.0,-6.87,-8.03,33.65
91810360.0,0.2,-9.49,27.43
91812340.0,-1.99,-7.54,33.04
91814320.0,-0.65,-3.76,31.45
