Timestamp (ms),X,Y,Z
295823261.0,26.56,-41.82,1.93
295825241.0,22.77,-32.8,4.37
295827221.0,-7.73,-13.52,90.01
295829202.0,-19.8,-2.91,-17.22
295831182.0,-28.34,-25.11,-30.16
295833162.0,32.05,27.11,117.59
295835142.0,-45.42,24.54,-33.08
295837122.0,-54.45,-5.1,95.75
295839103.0,-46.77,39.79,-36.62
295841083.0,7.16,45.65,3.15
295843063.0,-4.55,3.32,79.89
295845043.0,-21.39,37.6,13.64
295847024.0,5.08,15.64,38.41
295849004.0,-3.46,-9.74,49.88
295850984.0,29.36,-33.89,-4.29
295852964.0,20.33,1.36,28.89
295854944.0,60.47,-18.28,73.91
295856925.0,-9.43,-33.28,61.83
295858905.0,3.25,-44.02,-46.63
295860885.0,-25.66,-21.08,-3.68
295862865.0,11.06,-9.13,103.8
295864845.0,-32.86,2.58,81.11
295866826.0,-6.51,22.96,-18.81
295868806.0,-60.92,21.49,-25.64
295870786.0,-11.87,4.78,121.49
295872766.0,-37.01,32.72,-38.7
295874746.0,15.21,16.61,49.51
295876727.0,-7.85,23.69,45.12
295878707.0,5.57,20.76,46.7
295880687.0,-1.14,-18.4,27.55
295882667.0,10.7,-29.62,-24.42
295884647.0,36.19,2.95,80.74
295886628.0,28.39,-13.89,23.52
295888608.0,19.97,-62.69,-0.51
295890588.0,8.5,-48.78,25.23
295892568.0,-7.24,-13.15,92.94
295894549.0,-8.34,-7.66,-5.63
295896529.0,-24.32,-26.21,-16.74
295898509.0,9.96,42.72,47.31
295900489.0,-42.37,39.43,11.2
295902469.0,-25.9,-1.93,51.95
295904450.0,-28.1,25.76,-35.89
295906430.0,4.11,50.9,20.23
295908410.0,5.21,33.21,60.12
295910390.0,-25.66,28.81,8.27
295912370.0,6.18,-5.35,34.87
295914351.0,-12.12,-18.28,42.68
295916331.0,35.71,-23.28,22.79
295918311.0,29.61,-16.81,5.59
295920291.0,43.76,-48.53,37.07
295922271.0,-13.7,-50.0,70.98
295924252.0,-24.07,-62.32,-16.13
295926232.0,2.52,-30.97,-4.9
295928212.0,33.02,-15.96,43.9
295930192.0,-5.04,7.59,100.38
295932172.0,-34.57,15.64,-31.01
295934153.0,-48.35,5.02,23.52
295936133.0,-16.39,4.17,100.14
295938113.0,-11.14,31.01,-6.85
295940093.0,3.74,20.52,59.03
295942073.0,-16.27,33.82,-1.97
295944054.0,8.74,2.71,52.68
295946034.0,-16.88,-23.04,40.85
295948014.0,19.48,-21.69,28.28
295949994.0,23.26,8.93,28.53
295951975.0,50.83,-25.11,33.65
295953955.0,13.87,-67.93,7.18
295955935.0,2.16,-44.87,0.22
295957915.0,-15.17,-14.74,99.29
295959895.0,24.97,-4.86,-1.49
295961876.0,-5.77,-20.47,-31.5
295963856.0,-0.41,29.06,55.12
295965836.0,-40.67,40.04,12.18
295967816.0,-36.76,-23.4,43.78
295969796.0,-16.39,3.32,-9.17
295971777.0,-5.53,47.48,-0.14
295973757.0,19.36,25.89,115.27
295975737.0,-24.93,-0.34,-70.29
295977717.0,15.45,-9.25,59.27
295979697.0,-28.83,-11.57,93.43
295981678.0,39.0,-17.06,24.62
295983658.0,33.51,-28.4,-52.6
295985638.0,66.21,-62.44,60.73
295987618.0,-6.26,-40.85,63.17
295989598.0,-19.32,-54.63,39.26
295991579.0,2.52,-29.14,1.32
295993559.0,31.19,-16.08,-20.4
295995539.0,4.96,8.32,135.4
295997519.0,-48.23,5.88,-12.71
295999500.0,-42.74,0.88,-19.91
296001480.0,-34.57,-12.67,123.44
296003460.0,-11.63,29.3,-29.3
296005440.0,-0.41,10.03,38.9
296007420.0,-12.97,15.39,71.96
296009401.0,10.82,3.68,0.71
296011381.0,-12.48,-32.8,30.72
296013361.0,16.43,-23.28,50.36
296015341.0,24.24,12.34,15.72
296017321.0,65.96,-27.43,64.88
296019302.0,11.31,-75.62,-7.83
296021282.0,1.55,-43.17,-20.03
296023262.0,-25.66,-23.52,115.88
296025242.0,27.65,-15.72,-5.15
296027222.0,-20.78,-21.08,-25.4
296029203.0,-5.29,17.83,33.41
296031183.0,-48.35,28.33,0.71
296033163.0,-16.27,-25.96,83.67
296035143.0,-18.22,3.8,-18.81
296037123.0,-0.41,40.77,15.23
