Timestamp (ms),X,Y,Z
1854730065.0,-16.91,77.95,-317.04
1854732046.0,87.88,-308.91,369.82
1854734026.0,-64.13,-82.6,-221.15
1854736006.0,-12.89,-49.54,131.92
1854737986.0,-122.93,-193.14,273.32
1854739966.0,14.93,123.7,2.11
1854741947.0,-64.13,96.74,-143.8
1854743927.0,60.31,233.01,91.42
1854745907.0,14.44,235.57,8.82
1854747887.0,-41.56,-60.64,-185.52
1854749867.0,35.18,35.61,-15.94
1854751848.0,37.86,107.47,33.59
1854753828.0,78.73,-236.08,47.25
1854755808.0,-2.88,-134.09,-13.5
1854757788.0,-19.84,-69.92,331.51
1854759769.0,-87.31,-147.87,-40.47
1854761749.0,48.6,52.08,-87.31
1854763729.0,-64.62,139.92,-27.9
1854765709.0,3.46,249.36,88.49
1854767689.0,1.87,244.36,-79.63
1854769670.0,-34.36,-18.43,-280.07
1854771650.0,99.11,-4.04,161.93
1854773630.0,3.22,128.82,13.09
1854775610.0,75.44,-162.88,17.36
1854777590.0,2.85,-171.05,-120.74
1854779571.0,43.23,-105.78,291.37
1854781551.0,-118.42,-213.27,118.13
1854783531.0,7.61,71.6,-89.75
1854785511.0,-122.69,168.84,-134.65
1854787491.0,21.27,201.29,83.36
1854789472.0,65.68,245.09,-95.24
1854791452.0,24.44,18.53,37.37
1854793432.0,55.55,-12.45,181.45
1854795412.0,-20.21,152.49,-156.85
1854797392.0,49.58,-182.89,161.2
1854799373.0,16.51,-119.45,53.35
1854801353.0,-2.88,-113.23,80.92
1854803333.0,-150.99,-225.59,91.05
1854805313.0,34.45,98.2,-138.31
1854807294.0,-103.29,136.51,-143.56
1854809274.0,21.27,147.73,364.94
1854811254.0,43.6,298.89,-47.42
1854813234.0,8.22,-7.21,-154.78
1854815214.0,100.94,-25.39,112.16
1854817195.0,35.42,101.13,-88.41
1854819175.0,6.88,-237.18,207.07
1854821155.0,-28.02,-60.77,-94.88
1854823135.0,-13.01,-78.58,-68.4
1854825115.0,-129.03,-223.03,73.85
1854827096.0,36.4,99.66,-9.11
1854829076.0,-118.54,157.74,-358.28
1854831056.0,-5.32,75.02,383.36
1854833036.0,13.46,281.32,19.92
1854835016.0,-10.2,-29.66,-48.15
1854836997.0,109.72,-31.61,191.46
1854838977.0,64.46,91.0,-120.38
1854840957.0,19.69,-204.6,90.93
1854842937.0,-10.2,-91.51,-10.33
1854844917.0,-10.2,-5.5,-0.21
1854846898.0,-101.58,-193.62,-133.92
1854848878.0,4.31,98.57,59.94
1854850858.0,-96.95,171.16,24.19
1854852838.0,-0.2,31.59,238.79
1854854819.0,34.45,206.78,-152.95
1854856799.0,-10.33,-22.58,137.65
1854858779.0,156.69,1.21,391.54
1854860759.0,0.29,42.08,-555.43
1854862739.0,57.38,-300.74,290.89
1854864720.0,-85.11,-50.27,-79.63
1854866700.0,0.65,44.03,-60.35
1854868680.0,-67.54,-150.8,-122.57
1854870660.0,71.17,109.06,23.22
1854872640.0,-104.88,71.73,-108.18
1854874621.0,7.0,51.6,446.19
1854876601.0,49.94,223.62,-112.57
1854878581.0,-57.54,-48.93,-116.59
1854880561.0,129.12,29.76,325.78
1854882541.0,-31.68,-38.44,-280.07
1854884522.0,51.53,-230.35,320.04
1854886502.0,-75.35,-163.0,-141.6
1854888482.0,-30.21,25.61,-173.2
1854890462.0,-17.77,-91.63,-34.98
1854892442.0,79.34,68.55,151.56
1854894423.0,-38.51,86.61,-224.44
1854896403.0,-12.89,-12.58,440.46
1854898383.0,46.89,246.31,-244.57
1854900363.0,-7.28,-38.81,-181.74
1854902343.0,110.58,17.19,343.35
1854904324.0,-6.79,-52.35,-201.38
1854906304.0,1.02,-247.3,182.67
1854908284.0,-74.86,-186.18,-22.53
1854910264.0,-74.99,57.09,-122.57
1854912245.0,-55.34,-108.83,27.98
1854914225.0,56.29,87.95,252.21
1854916205.0,-38.14,108.81,-231.4
1854918185.0,9.56,-40.39,177.55
1854920165.0,22.0,213.49,-237.74
1854922146.0,14.81,-12.09,-231.15
1854924126.0,107.65,33.78,537.2
1854926106.0,21.03,-26.0,-354.25
1854928086.0,21.03,-296.84,133.51
1854930066.0,-24.6,-252.18,190.6
1854932047.0,-23.38,58.92,-73.53
1854934027.0,-49.24,-102.25,163.88
1854936007.0,-6.67,64.04,95.32
1854937987.0,-58.15,133.58,-203.58
1854939967.0,16.39,-16.48,482.3
1854941948.0,41.28,248.99,-511.26
1854943928.0,-13.74,-12.94,-184.79
1854945908.0,151.57,53.79,691.66
1854947888.0,-25.09,-64.67,-396.58
1854949868.0,76.66,-258.89,224.52
1854951849.0,-11.67,-302.33,93.25
1854953829.0,-37.9,27.68,-41.32
1854955809.0,-9.23,-124.82,46.03
1854957789.0,-29.85,71.12,205.85
1854959770.0,-15.69,194.09,-166.98
1854961750.0,-25.33,11.34,-8.38
1854963730.0,62.39,208.24,-105.74
1854965710.0,-15.33,-0.74,-275.19
1854967690.0,83.49,40.98,536.11
1854969671.0,47.87,-39.66,-180.4
1854971651.0,53.11,-256.09,6.02
1854973631.0,66.17,-365.16,399.34
1854975611.0,-39.85,-18.43,-217.73
1854977591.0,-81.57,-112.98,123.14
1854979572.0,-34.36,37.44,136.56
1854981552.0,5.9,250.7,-347.78
1854983532.0,12.85,54.04,264.78
1854985512.0,27.13,287.67,-293.86
1854987492.0,-49.61,29.51,-158.07
1854989473.0,81.78,47.45,498.65
1854991453.0,22.0,-57.96,-469.78
1854993433.0,146.44,-178.25,273.2
1854995413.0,17.73,-328.92,217.81
1854997393.0,-41.07,-78.46,-284.22
1854999374.0,-97.8,-167.27,113.5
1855001354.0,-37.53,48.42,188.77
1855003334.0,23.35,267.78,-153.8
1855005314.0,5.9,16.22,216.47
1855007295.0,61.04,286.81,-223.1
1855009275.0,-14.47,62.58,-189.79
1855011255.0,107.65,8.04,557.09
1855013235.0,23.96,-39.17,-347.42
