Timestamp (ms),X,Y,Z
2082166846.0,-150.63,403.93,-11.55
2082168826.0,-105.49,358.06,-47.42
2082170807.0,1.02,443.7,181.7
2082172787.0,-8.74,82.95,-36.68
2082174767.0,201.1,-95.54,310.77
2082176747.0,113.26,-311.35,69.21
2082178727.0,30.54,-468.12,185.84
2082180708.0,-33.38,-151.29,-124.77
2082182688.0,-132.69,-62.47,-406.22
2082184668.0,-124.88,154.08,2.23
2082186648.0,-192.23,339.64,-307.77
2082188628.0,-54.86,329.51,169.98
2082190609.0,71.05,283.64,132.29
2082192589.0,122.17,-36.73,156.81
2082194569.0,251.36,-182.64,297.6
2082196549.0,-3.98,-540.1,-282.39
2082198529.0,83.49,-424.81,74.82
2082200510.0,-44.12,-197.77,-205.78
2082202490.0,-75.11,-69.06,46.52
2082204470.0,-74.62,322.44,-172.47
2082206450.0,-165.75,305.84,-141.36
2082208431.0,-39.61,302.67,258.07
2082210411.0,24.44,36.47,2.36
2082212391.0,223.06,-166.05,363.72
2082214371.0,129.85,-418.23,83.36
2082216351.0,62.87,-532.17,126.43
2082218332.0,39.82,-208.75,-201.02
2082220312.0,-169.29,-139.7,-423.91
2082222292.0,-73.16,144.19,18.22
2082224272.0,-69.98,328.78,-205.41
2082226252.0,-2.03,247.65,59.94
2082228233.0,143.03,320.85,222.93
2082230213.0,109.36,-41.61,233.67
2082232193.0,177.68,-264.87,186.45
2082234173.0,88.74,-558.53,-97.44
2082236153.0,71.66,-421.15,128.02
2082238134.0,-81.94,-217.41,-262.38
2082240114.0,-89.5,0.11,82.14
2082242094.0,-150.63,396.12,-170.88
2082244074.0,-186.49,333.66,-306.79
2082246054.0,25.42,366.72,310.53
2082248035.0,129.36,128.09,167.3
2082250015.0,191.71,-211.07,397.51
2082251995.0,186.83,-295.62,248.06
2082253975.0,71.05,-471.54,51.77
2082255956.0,23.47,-279.02,-133.8
2082257936.0,-132.45,-198.26,-355.1
2082259916.0,-155.63,113.33,50.06
2082261896.0,-60.59,437.36,-164.17
2082263876.0,-66.45,455.05,132.04
2082265857.0,50.43,542.65,94.71
2082267837.0,-12.64,93.2,10.77
2082269817.0,227.57,-159.83,398.25
2082271797.0,124.73,-349.3,-67.67
2082273777.0,99.11,-435.18,251.24
2082275758.0,-85.84,-180.69,41.88
2082277738.0,-105.73,-92.36,-218.59
2082279718.0,-122.32,386.24,24.93
2082281698.0,-223.46,387.95,-274.83
2082283678.0,38.6,406.74,244.65
2082285659.0,60.8,292.06,62.01
2082287639.0,146.32,19.88,412.4
2082289619.0,138.03,-43.56,-6.18
2082291599.0,15.29,-449.09,-148.92
2082293579.0,7.24,-314.53,121.43
2082295560.0,-146.48,-159.46,-416.1
2082297540.0,-88.53,64.16,43.1
2082299520.0,-161.24,412.11,-85.36
2082301500.0,-62.42,410.15,-73.77
2082303481.0,27.37,516.05,254.41
2082305461.0,20.78,111.62,-67.79
2082307441.0,220.99,-100.17,263.68
2082309421.0,122.04,-281.71,78.73
2082311401.0,17.49,-429.69,139.0
2082313382.0,-44.49,-147.26,45.18
2082315362.0,-233.71,-70.89,-410.0
2082317342.0,-141.11,158.35,16.26
2082319322.0,-216.38,347.08,-364.38
2082321302.0,-13.25,377.95,291.13
2082323283.0,28.23,291.45,50.79
2082325263.0,119.12,-9.16,177.67
2082327243.0,252.83,-126.65,209.76
2082329223.0,48.23,-526.44,-167.22
2082331203.0,89.96,-425.79,60.92
2082333184.0,-72.55,-189.6,-268.61
2082335164.0,-59.37,-63.33,76.53
2082337144.0,-72.79,301.94,-102.32
2082339124.0,-161.97,314.75,-128.92
2082341104.0,-70.84,317.31,153.88
2082343085.0,23.71,37.69,42.62
2082345065.0,197.2,-148.24,228.3
