Timestamp (ms),X,Y,Z
1212720915.0,1.87,0.23,14.56
1212722895.0,2.61,0.97,19.44
1212724875.0,-0.2,1.09,27.37
1212726855.0,7.12,6.21,27.24
1212728836.0,-0.69,2.43,20.17
1212730816.0,2.12,1.82,18.7
1212732796.0,4.92,1.82,20.9
1212734776.0,-0.08,-1.11,14.92
1212736756.0,6.75,2.43,16.75
1212738737.0,6.02,2.19,21.39
1212740717.0,5.78,0.97,19.8
1212742697.0,2.61,0.84,21.27
1212744677.0,4.44,-0.86,15.29
1212746657.0,-3.01,-0.38,19.68
1212748638.0,2.48,-2.08,19.68
1212750618.0,2.36,2.67,15.41
1212752598.0,3.09,1.58,18.46
1212754578.0,9.07,5.6,19.92
1212756559.0,4.68,-0.38,19.68
1212758539.0,2.85,-2.82,18.58
1212760519.0,4.44,0.11,21.63
1212762499.0,2.48,-2.33,17.73
1212764479.0,5.29,-2.45,18.7
1212766460.0,4.07,-2.94,21.27
1212768440.0,1.02,-0.74,18.22
1212770420.0,3.46,-2.33,13.58
1212772400.0,4.68,0.36,23.34
1212774380.0,-1.18,2.55,19.92
1212776361.0,2.61,-3.3,21.39
1212778341.0,0.04,-4.77,18.7
1212780321.0,6.88,-5.01,17.97
1212782301.0,1.87,1.58,15.29
1212784281.0,4.56,1.58,14.8
1212786262.0,3.22,-1.72,17.85
1212788242.0,6.88,-2.21,14.19
1212790222.0,-2.64,-0.01,14.31
1212792202.0,4.19,1.09,11.99
1212794182.0,2.24,-1.96,20.78
1212796163.0,4.31,-2.57,16.39
1212798143.0,4.07,-0.01,16.02
1212800123.0,5.29,-3.06,18.95
1212802103.0,4.68,-0.62,21.51
1212804084.0,5.29,-3.91,16.14
1212806064.0,5.66,-3.18,14.8
1212808044.0,2.61,-2.08,16.63
1212810024.0,1.87,-2.08,19.44
1212812004.0,8.58,-3.79,20.78
1212813985.0,-2.4,1.09,21.51
1212815965.0,1.63,0.23,16.39
1212817945.0,3.46,1.82,14.56
1212819925.0,2.73,2.55,19.44
1212821905.0,6.39,-1.6,16.75
1212823886.0,-0.81,-0.5,18.22
1212825866.0,1.63,-2.08,25.17
1212827846.0,3.95,1.45,18.83
1212829826.0,0.53,1.58,18.34
1212831806.0,4.56,1.94,21.27
1212833787.0,2.97,7.31,22.85
1212835767.0,1.26,3.65,14.07
1212837747.0,4.19,1.33,15.78
1212839727.0,5.41,1.58,16.26
1212841707.0,3.22,0.23,20.53
1212843688.0,2.36,-0.38,17.73
1212845668.0,1.02,4.99,19.19
1212847648.0,2.61,4.02,17.48
1212849628.0,4.8,2.31,19.07
1212851609.0,2.24,1.45,17.48
1212853589.0,1.26,1.45,16.26
1212855569.0,1.63,1.45,19.31
1212857549.0,1.14,-0.01,15.65
1212859529.0,0.29,2.92,15.78
1212861510.0,2.36,-2.69,17.97
1212863490.0,4.92,0.84,21.63
1212865470.0,2.0,2.67,15.9
1212867450.0,4.8,1.7,15.17
1212869430.0,-1.18,2.8,11.38
1212871411.0,3.34,0.36,19.31
1212873391.0,1.87,0.97,23.58
1212875371.0,2.97,-0.86,22.24
1212877351.0,4.31,2.43,15.9
1212879331.0,-0.08,-2.08,18.7
1212881312.0,1.51,-0.13,14.8
1212883292.0,-5.93,-2.82,14.56
1212885272.0,1.51,0.48,18.46
1212887252.0,4.92,-0.38,8.94
1212889232.0,2.36,0.23,12.6
1212891213.0,0.78,-4.16,18.7
1212893193.0,5.29,-0.01,18.34
1212895173.0,-1.18,-4.04,26.51
1212897153.0,3.22,-0.86,12.36
1212899133.0,1.26,-3.79,19.44
1212901114.0,2.48,-1.72,10.29
1212903094.0,5.53,-4.4,16.63
1212905074.0,5.41,-3.3,17.85
1212907054.0,2.24,0.23,21.14
1212909035.0,2.0,-2.08,14.19
1212911015.0,5.41,-4.65,21.27
1212912995.0,-0.69,-2.82,21.51
1212914975.0,3.22,-4.52,17.0
1212916955.0,3.46,-1.35,21.88
1212918936.0,1.14,1.94,12.73
1212920916.0,7.85,-1.11,9.07
1212922896.0,3.83,-0.62,19.31
1212924876.0,-0.32,-0.25,18.83
1212926856.0,-0.93,-2.21,20.78
1212928837.0,2.36,-3.06,19.19
1212930817.0,-2.15,-0.25,13.09
1212932797.0,0.9,1.82,14.31
1212934777.0,2.48,3.53,15.53
1212936757.0,5.41,3.77,20.41
1212938738.0,4.8,0.48,16.02
1212940718.0,3.22,3.77,16.87
1212942698.0,1.51,-0.38,20.41
1212944678.0,2.0,-1.84,16.02
1212946658.0,2.48,1.45,18.95
1212948639.0,2.24,-1.23,15.17
1212950619.0,2.24,1.45,13.58
1212952599.0,1.63,-0.13,11.51
1212954579.0,1.26,-2.33,22.73
1212956560.0,8.58,-3.55,18.46
1212958540.0,3.58,2.43,16.02
1212960520.0,2.97,0.84,18.7
1212962500.0,2.24,-0.74,17.48
