Timestamp (ms),X,Y,Z
1406359507.0,-2.88,-16.24,4.19
1406361487.0,-1.42,-46.25,-5.82
1406363467.0,43.6,-89.68,24.56
1406365447.0,3.22,-57.11,41.52
1406367428.0,28.35,-60.03,1.38
1406369408.0,21.39,-14.53,-1.06
1406371388.0,39.21,-17.58,35.42
1406373368.0,-7.28,40.86,42.13
1406375348.0,-1.05,47.2,0.65
1406377329.0,7.97,45.74,10.41
1406379309.0,12.0,39.76,50.18
1406381289.0,-11.67,46.47,22.61
1406383269.0,-27.77,30.73,18.95
1406385249.0,-30.7,40.49,39.32
1406387230.0,-15.57,26.59,52.86
1406389210.0,-19.72,-32.95,-48.4
1406391190.0,23.71,-41.86,89.1
1406393170.0,-13.38,-10.01,60.06
1406395150.0,-3.86,-19.9,-4.84
1406397131.0,5.17,-76.5,-63.04
1406399111.0,68.0,-32.95,59.09
1406401091.0,26.52,0.48,82.14
1406403071.0,-5.69,-10.14,-22.04
1406405052.0,-8.98,-23.31,-7.16
1406407032.0,35.79,45.01,14.8
1406409012.0,-5.45,32.08,39.2
1406410992.0,-11.91,44.64,28.71
1406412972.0,8.1,77.7,-6.67
1406414953.0,-16.06,61.6,-12.65
1406416933.0,-39.85,-20.63,10.29
1406418913.0,-31.31,43.79,18.22
1406420893.0,-5.32,24.51,95.32
1406422873.0,-22.04,-25.39,-6.31
1406424854.0,19.44,-63.69,-66.45
1406426834.0,-14.72,-20.63,81.17
1406428814.0,11.02,-54.3,63.36
1406430794.0,-18.13,-77.48,28.46
1406432774.0,61.9,-31.24,-38.51
1406434755.0,22.74,0.11,29.07
1406436735.0,30.3,-15.63,80.07
1406438715.0,-17.65,-0.25,-17.9
1406440695.0,23.47,4.5,-7.16
1406442675.0,-3.86,33.91,40.79
1406444656.0,-16.79,52.21,15.17
1406446636.0,-17.04,59.16,-4.11
1406448616.0,-19.11,43.54,-4.96
1406450596.0,-9.96,33.05,56.28
1406452577.0,-35.58,24.51,-32.78
1406454557.0,17.61,-4.89,46.03
1406456537.0,-25.33,-28.44,42.62
1406458517.0,42.5,-10.5,11.63
1406460497.0,-7.15,-47.71,-63.52
1406462478.0,41.65,-97.98,64.82
1406464458.0,1.14,-51.25,20.17
1406466438.0,36.52,-53.57,40.42
1406468418.0,26.88,-25.75,-30.22
1406470398.0,31.03,-16.97,-41.2
1406472379.0,9.44,36.22,84.95
1406474359.0,-12.52,22.93,-15.94
1406476339.0,13.71,15.0,41.15
1406478319.0,-3.37,28.9,19.31
1406480299.0,21.03,59.04,19.56
1406482280.0,-26.92,10.6,24.07
1406484260.0,-27.41,36.71,44.32
1406486240.0,3.46,4.75,8.58
1406488220.0,-8.98,-53.08,6.38
1406490200.0,12.61,-36.24,29.44
1406492181.0,-27.16,-11.72,22.12
1406494161.0,26.27,-36.24,55.18
